lat	long	q	age	q(t)	sqrt age	d(t)	q(t)
45.91	-119.44	100	9.5405912	2.39	3.088784745	4169.60346	3.658396727
45.18	-121.2	62	9.5008411	1.4818	3.082343443	4162.647193	3.666041831
42.32	-122.81	46	8.7200031	1.0994	2.952965137	4026.000543	3.826662177
45.6	-121.64	83	9.5370016	1.9837	3.08820362	4168.97528	3.659085148
45.53	-122.43	48	9.5407829	1.1472	3.088815776	4169.637008	3.658359973
42.53	-122.64	49	8.7200031	1.1711	2.952965137	4026.000543	3.826662177
42.8	-123.85	29	8.0320463	0.6931	2.834086502	3905.608103	3.987175406
45.38	-122.02	77	9.5483627	1.8403	3.090042508	4170.963473	3.656907622
45.72	-119.02	66	9.5560369	1.5774	3.091284021	4172.306458	3.655438945
45.68	-121.31	41	9.5560369	0.9799	3.091284021	4172.306458	3.655438945
42.49	-122.95	33	8.7200031	0.7887	2.952965137	4026.000543	3.826662177
42.5	-122.98	33	8.7200031	0.7887	2.952965137	4026.000543	3.826662177
45.39	-122.36	41	9.5483627	0.9799	3.090042508	4170.963473	3.656907622
42.86	-123.38	33	8.5052891	0.7887	2.91638288	3988.425593	3.874662713
44.87	-122.71	43	9.8163719	1.0277	3.133108983	4217.865083	3.606641218
45.77	-119.12	71	9.544672	1.6969	3.089445258	4170.3176	3.657614574
45.43	-121.29	65	9.5483627	1.5535	3.090042508	4170.963473	3.656907622
45.54	-122.76	35	9.5407829	0.8365	3.088815776	4169.637008	3.658359973
45.35	-121.13	54	9.5483627	1.2906	3.090042508	4170.963473	3.656907622
