lat,lon,age,q_ihfc,q_ps,q_stein,FA,ps_z,stein_z,z
47.84,-128.68,1.1115648,409.0,448.7384322,483.7297338,-12.46199608,2869.007707,2984.822323,-2662.0
47.85,-128.68,0.91232389,312.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2655.0
47.88,-128.69,0.91232389,251.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2634.0
47.88,-128.7,0.91232389,291.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2637.0
47.89,-128.7,0.91232389,266.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2628.0
47.86,-128.64,1.1679138,271.0,437.7793418,471.9160858,-8.577288628,2878.245212,2994.455721,-2618.0
47.87,-128.64,1.1679138,274.0,437.7793418,471.9160858,-8.577288628,2878.245212,2994.455721,-2614.0
47.88,-128.65,0.91232389,245.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2616.0
47.89,-128.65,0.91232389,298.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2617.0
47.9,-128.66,0.91232389,398.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2614.0
47.9,-128.67,0.91232389,387.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2619.0
47.75,-127.22,4.6330013,146.0,219.8008907,236.9403169,-5.541047096,3253.354272,3385.640884,-2617.0
47.75,-127.23,4.6330013,140.0,219.8008907,236.9403169,-10.34975338,3253.354272,3385.640884,-2618.0
47.75,-127.24,4.6330013,146.0,219.8008907,236.9403169,-10.34975338,3253.354272,3385.640884,-2616.0
47.76,-127.25,4.2658925,142.0,229.0634015,246.925091,-10.34975338,3222.8913,3353.872355,-2618.0
47.76,-127.26,4.2658925,143.0,229.0634015,246.925091,-10.34975338,3222.8913,3353.872355,-2616.0
47.76,-127.27,4.2658925,147.0,229.0634015,246.925091,-10.34975338,3222.8913,3353.872355,-2613.0
47.77,-127.33,4.2658925,161.0,229.0634015,246.925091,-10.34975338,3222.8913,3353.872355,-2613.0
47.78,-127.35,4.2658925,154.0,229.0634015,246.925091,-4.742084503,3222.8913,3353.872355,-2620.0
47.78,-127.36,4.1103892,158.0,233.3561151,251.5525379,-4.742084503,3209.593318,3340.00446,-2623.0
47.78,-127.37,4.1103892,181.0,233.3561151,251.5525379,-4.742084503,3209.593318,3340.00446,-2625.0
