lat,lon,t,bath
47.71,-121.14,9.7773581,952.0
47.43,-121.41,9.7773581,989.0
46.65,-121.28,9.7773581,1122.0
45.81,-121.95,9.544672,377.0
46.67,-121.03,9.7773581,879.0
46.75,-120.64,9.7773581,1529.0
47.01,-121.7,9.7773581,854.0
46.04,-119.64,9.5455904,903.0
46.04,-119.64,9.5455904,903.0
45.92,-120.19,9.5405912,664.0
45.92,-120.19,9.5405912,664.0
45.88,-122.45,9.5405912,345.0
45.84,-122.53,9.544672,132.0
45.94,-122.71,9.5405912,67.0
47.0,-119.53,9.7773581,1620.0
45.99,-120.38,9.5455904,1024.0
45.99,-120.38,9.5455904,1024.0
45.99,-120.38,9.5455904,1024.0
47.45,-120.36,9.7773581,1943.0
46.46,-120.23,9.6252508,1274.0
46.6,-120.38,9.7773581,1547.0
45.83,-120.82,9.544672,346.0
45.83,-120.82,9.544672,346.0
45.76,-120.53,9.544672,590.0
46.54,-122.48,9.6252508,199.0
45.9,-122.66,9.5405912,143.0
45.61,-122.13,9.5370016,325.0
45.61,-122.13,9.5370016,325.0
45.88,-120.93,9.5405912,522.0
45.89,-122.5,9.5405912,235.0
45.7,-121.41,9.5560369,147.0
45.74,-121.18,9.5560369,539.0
45.7,-120.92,9.5560369,604.0
45.61,-122.18,9.5370016,300.0
45.61,-122.18,9.5370016,300.0
46.33,-120.78,9.5389538,1089.0
46.53,-122.55,9.6252508,183.0
45.7,-121.24,9.5560369,341.0
47.11,-120.68,9.7773581,1217.0
46.53,-122.56,9.6252508,132.0
46.28,-120.0,9.5389538,992.0
46.73,-120.76,9.7773581,1363.0
45.7,-121.42,9.5560369,211.0
46.67,-120.6,9.7773581,797.0
45.88,-120.69,9.5405912,522.0
45.88,-120.69,9.5405912,522.0
46.68,-120.75,9.7773581,937.0
46.3,-122.87,9.5389538,189.0
46.57,-123.03,9.7773581,198.0
47.16,-119.32,9.7773581,691.0
47.16,-119.32,9.7773581,691.0
46.51,-122.49,9.6252508,318.0
45.71,-121.87,9.5560369,191.0
45.82,-120.82,9.544672,443.0
45.74,-121.12,9.5560369,667.0
45.73,-121.11,9.5560369,606.0
45.61,-122.13,9.5370016,325.0
45.61,-122.13,9.5370016,325.0
46.82,-120.66,9.7773581,959.0
46.55,-122.58,9.6252508,270.0
45.73,-122.41,9.5560369,420.0
45.94,-120.97,9.5405912,702.0
46.44,-120.2,9.543684,963.0
45.74,-120.23,9.5560369,507.0
48.69,-119.5,9.57864,1093.0
45.6,-122.4,9.5370016,78.0
45.64,-122.44,9.5370016,97.0
46.55,-121.79,9.6252508,549.0
46.73,-121.85,9.7773581,722.0
45.64,-121.98,9.5370016,14.0
45.65,-121.95,9.5370016,13.0
45.65,-121.96,9.5370016,21.0
46.71,-121.58,9.7773581,593.0
46.62,-121.69,9.7773581,353.0
46.52,-121.94,9.6252508,277.0
46.27,-122.24,9.5389538,893.0
46.17,-122.27,9.546627,956.0
46.53,-122.84,9.6252508,171.0
46.54,-122.85,9.6252508,155.0
47.57,-120.16,9.7773581,1792.0
46.62,-122.23,9.7773581,409.0
46.43,-120.18,9.543684,1139.0
46.73,-120.78,9.7773581,1363.0
45.71,-121.88,9.5560369,196.0
46.41,-120.08,9.543684,1048.0
46.41,-120.08,9.543684,1048.0
45.77,-122.2,9.544672,600.0
45.77,-122.2,9.544672,600.0
45.77,-122.19,9.544672,696.0
45.77,-122.22,9.544672,1051.0
